날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2022-01-03,13350,13450,13150,13150,24502,325979100,-1.5
2022-01-04,13350,13350,13100,13250,18026,238043600,0.76
2022-01-05,13300,13300,12950,13050,38173,499448750,-1.51
2022-01-06,12900,13000,12700,12800,42018,539429400,-1.92
2022-01-07,12800,13100,12800,13000,22803,295360700,1.56
2022-01-10,13000,13100,12700,13050,29747,383320700,0.38
2022-01-11,13050,13150,12800,12900,17171,221672050,-1.15
2022-01-12,12900,13100,12900,13050,11947,155608650,1.16
2022-01-13,13050,13150,12900,12950,11071,143778850,-0.77
2022-01-14,12950,13000,12700,12750,20107,257697350,-1.54
2022-01-17,12750,12950,12400,12550,33062,417577450,-1.57
2022-01-18,12550,12600,12250,12300,26666,330947300,-1.99
2022-01-19,12300,12550,12200,12400,19963,246901550,0.81
2022-01-20,12400,12650,12300,12600,10281,128091700,1.61
2022-01-21,12600,12600,12300,12400,12656,157199200,-1.59
2022-01-24,12400,12450,12050,12250,28865,352002600,-1.21
2022-01-25,12350,12350,11800,11950,32930,395839700,-2.45
2022-01-26,11850,12100,11800,11800,19828,237310650,-1.26
2022-01-27,11850,12050,11400,11400,50383,584920200,-3.39
2022-01-28,11350,11600,11200,11400,43556,498034100,0.0
2022-02-03,11550,12250,11550,12200,31336,374165250,7.02
2022-02-04,12200,12550,11950,12450,82178,1065435800,2.05
2022-02-07,12550,12750,12250,12400,77794,973624600,-0.4
2022-02-08,12450,12450,12200,12350,18182,223661000,-0.4
2022-02-09,12350,12850,12350,12700,30353,384771550,2.83
2022-02-10,12850,12900,12450,12600,27509,348445650,-0.79
2022-02-11,12550,12600,12350,12350,18023,223350250,-1.98
2022-02-14,12300,12300,12000,12050,25701,311158450,-2.43
2022-02-15,12000,12250,11850,11850,19783,236799500,-1.66
2022-02-16,12100,12150,11950,12150,8776,105762700,2.53
2022-02-17,12150,12350,12000,12050,16788,203830050,-0.82
2022-02-18,11950,12400,11950,12350,8375,102768800,2.49
2022-02-21,12250,12450,12150,12400,7018,86552300,0.4
2022-02-22,12400,12450,12150,12250,11893,145701400,-1.21
2022-02-23,12200,12300,12150,12200,8900,108621850,-0.41
2022-02-24,12200,12250,12000,12050,14735,178090200,-1.23
