날짜,시가,고가,저가,종가,거래량,거래대금,등락률
2022-10-04,11200,11350,11050,11200,24269,272412450,0.0
2022-10-05,11350,11700,11050,11100,31669,356779550,-0.89
2022-10-06,11100,11500,11050,11450,34143,387005700,3.15
2022-10-07,11450,11550,11300,11450,20315,231769300,0.0
2022-10-11,11250,11300,10850,11000,48753,538744550,-3.93
2022-10-12,11000,11000,10650,11000,15270,166298350,0.0
2022-10-13,11000,11000,10750,11000,13157,142366400,0.0
2022-10-14,11000,11150,10900,11100,14445,159862450,0.91
2022-10-17,11050,11100,10900,11100,6345,69989100,0.0
2022-10-18,11150,11200,11100,11150,14405,160503650,0.45
2022-10-19,11150,11200,11100,11150,12118,135269950,0.0
2022-10-20,11150,11250,11050,11100,17959,200437150,-0.45
2022-10-21,11150,11150,10950,11100,19467,215039250,0.0
2022-10-24,11200,11400,11150,11250,20316,228484850,1.35
2022-10-25,11250,11300,11000,11000,18139,201814700,-2.22
2022-10-26,11000,11100,10950,11050,12066,133018200,0.45
2022-10-27,11050,11150,11000,11150,7862,87105300,0.9
2022-10-28,11150,11150,11050,11150,8547,94860050,0.0
2022-10-31,11150,11200,10850,11000,47131,517882150,-1.35
2022-11-01,11000,11000,10850,10950,11930,130453200,-0.45
2022-11-02,10950,11000,10850,10950,15412,168524700,0.0
2022-11-03,10950,10950,10750,10800,15073,162878400,-1.37
2022-11-04,10800,10950,10750,10950,7993,86696650,1.39
2022-11-07,11000,11000,10850,10900,9087,99522350,-0.46
2022-11-08,11000,11050,10900,11000,5735,63006500,0.92
2022-11-09,11000,11100,11000,11100,21379,235967650,0.91
2022-11-10,11000,11150,10950,10950,19951,220337300,-1.35
2022-11-11,11100,11750,11050,11550,49073,555496200,5.48
2022-11-14,11550,11600,11300,11400,12107,137933600,-1.3
2022-11-15,11400,11500,11300,11500,12174,138711950,0.88
2022-11-16,11500,11650,11400,11500,12862,147720700,0.0
2022-11-17,11650,11650,11300,11500,14771,169350200,0.0
2022-11-18,11350,11700,11350,11500,8237,94984650,0.0
2022-11-21,11500,11500,11250,11450,6487,73640050,-0.43
2022-11-22,11300,11450,11250,11400,3243,36777150,-0.44
2022-11-23,11400,11400,11300,11400,2047,23264100,0.0
2022-11-24,11400,11450,11350,11450,12354,140750500,0.44
2022-11-25,11450,11500,11300,11500,5349,61051150,0.44
2022-11-28,11500,11550,11300,11500,5198,59343900,0.0
2022-11-29,11450,11550,11400,11500,5893,67665800,0.0
2022-11-30,11500,11550,11400,11550,8222,94394600,0.43
2022-12-01,11550,11600,11400,11550,10886,125165650,0.0
2022-12-02,11550,11600,11450,11600,8733,100769000,0.43
2022-12-05,11600,11700,11450,11700,9050,104530050,0.86
2022-12-06,11700,11700,11450,11550,6918,79776400,-1.28
2022-12-07,11550,11550,11400,11500,1854,21285550,-0.43
2022-12-08,11400,11500,11300,11500,9743,111128750,0.0
2022-12-09,11500,11600,11350,11600,10555,120812000,0.87
2022-12-12,11600,11600,11450,11600,6770,77757700,0.0
2022-12-13,11600,11600,11450,11450,5867,67430900,-1.29
2022-12-14,11500,11600,11450,11550,6933,79915400,0.87
2022-12-15,11550,11550,11450,11550,8960,103201350,0.0
2022-12-16,11500,11600,11400,11550,12796,147022100,0.0
2022-12-19,11550,11700,11450,11650,75359,877035400,0.87
2022-12-20,11650,11700,11550,11600,10093,117064550,-0.43
2022-12-21,11700,11700,11450,11600,12083,139600500,0.0
2022-12-22,11600,11650,11500,11600,7917,91577450,0.0
2022-12-23,11550,11600,11350,11450,58821,674067700,-1.29
2022-12-26,11400,11500,11350,11500,29693,339764400,0.44
2022-12-27,11500,11550,11350,11400,48807,556990550,-0.87
2022-12-28,11000,11050,10800,10850,30600,334454900,-4.82
2022-12-29,10850,10900,10500,10850,16661,177558500,0.0
